採否	語	content	一致	落とした理由
除外	UP	学習	1/1	記号か英数のみ; 動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	UV	健康	1/2	記号か英数のみ; 票が 1 件だけ
除外	UX	情報	1/2	記号か英数のみ; 票が 1 件だけ
除外	Under	情報	1/2	記号か英数のみ; 票が 1 件だけ
除外	VAR	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	VE	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	VICS	交通	1/1	記号か英数のみ; 票が 1 件だけ
除外	Visual	情報	1/2	記号か英数のみ; 性質を指す名詞（形状詞可能）; 票が 1 件だけ
除外	Webサイト	情報	1/1	票が 1 件だけ
採用	X線	健康	4/6	
除外	Zoom	仕事	1/1	記号か英数のみ; 動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	abv	食事	1/1	記号か英数のみ; 票が 1 件だけ
除外	acp	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	activities	健康	2/3	記号か英数のみ; 票が 2 件だけ
除外	adaptation	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	adcg	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	advantage	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	adversarial	情報	3/4	記号か英数のみ
除外	agnostic	情報	2/3	記号か英数のみ; 票が 2 件だけ
除外	akamai	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	aks	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	akşam	健康	1/1	票が 1 件だけ
除外	alerjik	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	alh	交通	1/1	記号か英数のみ; 票が 1 件だけ
除外	ama	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	amm	金銭	1/2	記号か英数のみ; 票が 1 件だけ
除外	analysis	法制度	1/1	記号か英数のみ; 票が 1 件だけ
除外	analytics	仕事	1/1	記号か英数のみ; 票が 1 件だけ
除外	ancak	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	antibiyotik	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	apa	学習	1/1	記号か英数のみ; 票が 1 件だけ
除外	asana	仕事	1/2	記号か英数のみ; 票が 1 件だけ
除外	atf	交通	1/1	記号か英数のみ; 票が 1 件だけ
除外	attribute	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	augmentation	情報	1/2	記号か英数のみ; 票が 1 件だけ
除外	automation	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	average	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	ağrı	健康	1/1	票が 1 件だけ
除外	backup	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	bandit	情報	1/2	記号か英数のみ; 票が 1 件だけ
除外	based	情報	1/2	記号か英数のみ; 票が 1 件だけ
除外	batch	情報	2/3	記号か英数のみ; 票が 2 件だけ
除外	behavioral	法制度	1/1	記号か英数のみ; 票が 1 件だけ
除外	bellman	学習	1/1	記号か英数のみ; 票が 1 件だけ
除外	ben	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	bias	情報	1/2	記号か英数のみ; 票が 1 件だけ
除外	bir	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	biraz	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	birçok	健康	1/1	票が 1 件だけ
除外	black box	情報	1/1	票が 1 件だけ
除外	bloom	食事	1/1	記号か英数のみ; 票が 1 件だけ
除外	brightness	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	btob	仕事	1/2	記号か英数のみ; 票が 1 件だけ
除外	burnt	食事	1/1	記号か英数のみ; 票が 1 件だけ
除外	buz	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	cbm	金銭	1/1	記号か英数のみ; 票が 1 件だけ
除外	ccpa	法制度	1/1	記号か英数のみ; 票が 1 件だけ
除外	cdn	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	centos	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	ciddi	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	clip	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	cloudflare	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	cognitive	法制度	1/1	記号か英数のみ; 票が 1 件だけ
除外	cold	食事	1/1	記号か英数のみ; 票が 1 件だけ
除外	collapse	情報	2/3	記号か英数のみ; 票が 2 件だけ
除外	compression	身体	1/1	記号か英数のみ; 動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	confirmation	法制度	1/1	記号か英数のみ; 票が 1 件だけ
除外	continuous	状態	1/1	記号か英数のみ; 票が 1 件だけ
除外	contraction	身体	1/1	記号か英数のみ; 票が 1 件だけ
除外	controlnet	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	crispr	自然	1/1	記号か英数のみ; 票が 1 件だけ
除外	cupping	食事	1/1	記号か英数のみ; 票が 1 件だけ
除外	curve	情報	1/2	記号か英数のみ; 動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	custody	法制度	1/1	記号か英数のみ; 票が 1 件だけ
除外	cyclin	自然	1/1	記号か英数のみ; 票が 1 件だけ
除外	cyp	健康	2/2	記号か英数のみ; 票が 2 件だけ
除外	daily	健康	2/4	記号か英数のみ; 票が 2 件だけ
除外	dapps	金銭	1/2	記号か英数のみ; 票が 1 件だけ
除外	dark	食事	1/1	記号か英数のみ; 票が 1 件だけ
除外	dbscan	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	dcf	金銭	1/1	記号か英数のみ; 票が 1 件だけ
除外	de	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	decentralized	金銭	1/2	長すぎる; 記号か英数のみ; 票が 1 件だけ
除外	deception	法制度	1/1	記号か英数のみ; 票が 1 件だけ
除外	dem	自然	1/2	記号か英数のみ; 票が 1 件だけ
除外	demosnation	仕事	1/1	記号か英数のみ; 票が 1 件だけ
除外	denoising	情報	2/3	記号か英数のみ; 票が 2 件だけ
除外	density	食事	1/2	記号か英数のみ; 票が 1 件だけ
除外	devsecops	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	değil	健康	1/1	票が 1 件だけ
除外	diffusion	情報	1/2	記号か英数のみ; 票が 1 件だけ
除外	dikkatli	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	discounted	金銭	1/1	記号か英数のみ; 票が 1 件だけ
除外	discriminator	情報	1/1	長すぎる; 記号か英数のみ; 票が 1 件だけ
除外	dma	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	dnac	自然	1/1	記号か英数のみ; 票が 1 件だけ
除外	dnvb	交通	1/1	記号か英数のみ; 票が 1 件だけ
除外	do	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	doktora	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	doms	身体	1/1	記号か英数のみ; 票が 1 件だけ
除外	dvt	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	dynamics	身体	1/1	記号か英数のみ; 票が 1 件だけ
除外	ebv	健康	1/2	記号か英数のみ; 票が 1 件だけ
除外	ecg	健康	1/2	記号か英数のみ; 票が 1 件だけ
除外	echo	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	empathy	法制度	1/1	記号か英数のみ; 票が 1 件だけ
除外	evidence	法制度	1/1	記号か英数のみ; 票が 1 件だけ
除外	explainable	情報	3/3	記号か英数のみ
除外	explanations	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	eğer	健康	1/1	票が 1 件だけ
除外	eコマース	情報	1/1	票が 1 件だけ
除外	fairness	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	farming	金銭	1/2	記号か英数のみ; 票が 1 件だけ
除外	fev	健康	1/2	記号か英数のみ; 票が 1 件だけ
除外	few	情報	2/3	記号か英数のみ; 票が 2 件だけ
除外	fido	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	filter	状態	1/2	記号か英数のみ; 票が 1 件だけ
除外	flight	法制度	1/2	記号か英数のみ; 票が 1 件だけ
除外	flow	金銭	1/1	記号か英数のみ; 票が 1 件だけ
除外	fluid	交通	1/1	記号か英数のみ; 票が 1 件だけ
除外	frtpa	法制度	1/1	記号か英数のみ; 票が 1 件だけ
除外	fulfillment	交通	1/1	記号か英数のみ; 票が 1 件だけ
除外	function	学習	1/1	記号か英数のみ; 票が 1 件だけ
除外	gan	情報	2/3	記号か英数のみ; 票が 2 件だけ
除外	gateway	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	gdpr	法制度	1/1	記号か英数のみ; 票が 1 件だけ
除外	generative	情報	2/3	記号か英数のみ; 性質を指す名詞（形状詞可能）; 票が 2 件だけ
除外	generator	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	geçenlerde	健康	1/1	票が 1 件だけ
除外	ghg	自然	1/1	記号か英数のみ; 票が 1 件だけ
除外	gibi	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	github	仕事	1/1	記号か英数のみ; 票が 1 件だけ
除外	gitlab	仕事	1/1	記号か英数のみ; 票が 1 件だけ
除外	gitmelisin	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	gloss	学習	1/1	記号か英数のみ; 票が 1 件だけ
除外	governance	金銭	2/3	記号か英数のみ; 票が 2 件だけ
除外	gradient	学習	1/1	記号か英数のみ; 性質を指す名詞（形状詞可能）; 票が 1 件だけ
除外	graphql	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	ground	交通	1/1	記号か英数のみ; 票が 1 件だけ
除外	hafif	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	handling	交通	1/1	記号か英数のみ; 票が 1 件だけ
除外	hdr	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	her	健康	2/2	記号か英数のみ; 票が 2 件だけ
除外	hiit	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	home	住居	1/1	記号か英数のみ; 票が 1 件だけ
除外	how	仕事	1/1	記号か英数のみ; 票が 1 件だけ
除外	ibi	法制度	1/1	記号か英数のみ; 票が 1 件だけ
除外	icsi	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	identity	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	idp	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	iep	学習	2/4	記号か英数のみ; 票が 2 件だけ
除外	if	学習	1/1	記号か英数のみ; 票が 1 件だけ
除外	ifn	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	ige	健康	2/3	記号か英数のみ; 票が 2 件だけ
除外	igg	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	igm	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	il	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	impermanent	金銭	1/2	記号か英数のみ; 票が 1 件だけ
除外	indicator	移動	1/1	記号か英数のみ; 票が 1 件だけ
除外	infrastructure	情報	1/1	長すぎる; 記号か英数のみ; 票が 1 件だけ
除外	injection	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	insights	情報	2/2	記号か英数のみ; 票が 2 件だけ
除外	insirna	自然	1/1	記号か英数のみ; 票が 1 件だけ
除外	interpretability	情報	2/2	長すぎる; 記号か英数のみ; 票が 2 件だけ
除外	iops	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	ipsc	身体	1/1	記号か英数のみ; 票が 1 件だけ
除外	iyi	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	için	健康	1/1	票が 1 件だけ
除外	js	情報	2/2	記号か英数のみ; 票が 2 件だけ
除外	json	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	kHz	健康	1/2	記号か英数のみ; 品詞から取れる（助数詞可能 → #数量）; 票が 1 件だけ
除外	kWh	法制度	1/1	記号か英数のみ; 品詞から取れる（助数詞可能 → #数量）; 票が 1 件だけ
除外	kas	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	kesin	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	klik	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	kubernetes	情報	3/4	記号か英数のみ
除外	lai	自然	1/2	記号か英数のみ; 票が 1 件だけ
除外	latent	情報	1/2	記号か英数のみ; 票が 1 件だけ
除外	layer	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	lcp	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	ldi	住居	1/1	記号か英数のみ; 票が 1 件だけ
除外	lge	身体	1/1	記号か英数のみ; 票が 1 件だけ
除外	lidar	交通	2/2	記号か英数のみ; 票が 2 件だけ
除外	lime	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	lms	情報	1/2	記号か英数のみ; 票が 1 件だけ
除外	lora	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	loss	金銭	1/2	記号か英数のみ; 動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	lrp	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	lvef	身体	1/1	記号か英数のみ; 票が 1 件だけ
除外	mRNA	自然	2/2	記号か英数のみ; 票が 2 件だけ
除外	macd	金銭	2/2	記号か英数のみ; 票が 2 件だけ
除外	majeure	交通	1/1	記号か英数のみ; 票が 1 件だけ
